nome,preco,imagem,status,categoria_principal,subcategoria,special,Codigo
Funko Pop! Filme Stargate Anubis Guard 1572,"R$ 264,90",https://cdn.awsli.com.br/800x800/84/84034/produto/269475103/anubis-guard-b-1--800-mzid5jbyqn.jpg,disponivel,Filmes e Séries,Stargate,,AD9476X87
Funko Pop! Animation Boruto Daemon 1918,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/340533323/daemon-as-ui5rmvrv78.png,disponivel,Animes,Boruto,,AD9932Y50
Funko Pop! Television Os Simpsons Marjora 1202,"R$ 129,90",https://cdn.awsli.com.br/800x800/84/84034/produto/139386248/funko-pop-television-os-simpsons-marjora-1202-xxxx-qhool760de.png,disponivel,Disney,Os Simpsons,,AE1168I98
Funko Pop! Marvel Os Vingadores Viuva Negra / Black Widow 1260 Exclusivo,"R$ 199,90",https://cdn.awsli.com.br/800x800/84/84034/produto/213008591/funko-pop-marvel-black-widow-1260-exclusivo-x4-qx18gzh642.png,disponivel,Heróis/Vilões,Viúva Negra,Exclusivo,AE1339N85
Funko pop! Filme A Saga Crepusculo Jane of the Volturi Guard 326 Exclusivo,"R$ 639,90",https://cdn.awsli.com.br/800x800/84/84034/produto/99447234/funko-pop--filme-the-twilight-saga-crepusculo-jane-of-the-volturi-guard-326-excl-aizslbx5ry.jpg,disponivel,Filmes e Séries,A Saga Crepúsculo,Exclusivo,AE1407F22
Funko Pop! Marvel Pantera Negra Ironheart MK1 1095 Exclusivo Glow,"R$ 159,90",https://cdn.awsli.com.br/800x800/84/84034/produto/382938501/funko-pop-ironheart-1095-xsd-7juueuje0r.png,disponivel,Heróis/Vilões,Pantera Negra,Exclusivo | Glow,AE1485Y97
Funko Pop! Filme Jurassic Park Velociraptor Hatchling 1717,"R$ 129,90",https://cdn.awsli.com.br/800x800/84/84034/produto/320219703/velociraptor-hatchling-b-1--800-je3f2p7ozo.jpg,disponivel,Filmes e Séries,Jurassic Park,,AE2103W49
Funko Pop! Animation Fairy Tail Gray Fullbuster 282,"R$ 544,90",https://cdn.awsli.com.br/800x800/84/84034/produto/232824567/fdgsdfgs32423-ozi8zyvlwj.png,disponivel,Animes,Fairy Tail,,AE2225P89
Funko Pop! Animation Chainsaw Man Power 1681,"R$ 264,90",https://cdn.awsli.com.br/800x800/84/84034/produto/275397897/power-b-1--800-85eh91nloy.jpg,disponivel,Animes,Chainsaw Man,,AE2413S66
Funko Pop! Racing Formula 1 Mercedes AMG Lewis Hamilton 01,"R$ 334,90",https://cdn.awsli.com.br/800x800/84/84034/produto/148312288/funko-pop--racing-formula-1-mercedes-amg-lewis-hamilton-01-x-0e0mrueq3o.png,disponivel,Esporte,Formula 1,,AE2858V41
Funko Pop! Um Maluco No Golfe / Happy Gilmore Shooter McGavin 2009,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/399734635/shooter-mcgavin-x-j9dhfdzsam.png,disponivel,Filmes e Séries,Um Maluco No Golfe,,AE3060Q20
Funko Pop! Football NFL Washington Commanders Jayden Daniels 324,"R$ 194,90",https://cdn.awsli.com.br/800x800/84/84034/produto/379943526/jayden-daniels-x-uuhm6uhy9p.png,disponivel,Esporte,Futebol Americano NFL,,AE4370E25
Funko Pop! Dc Comics Mulher Maravilha / Wonder Woman 393,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/120585024/funko-pop--dc-comics-mulher-maravilha-wonder-woman-393-a-800-j4g6wyaaah.jpg,disponivel,Heróis/Vilões,Mulher Maravilha,,AE4402O38
Funko Pop! Television Star Wars Boba Fett 734,"R$ 129,90",https://cdn.awsli.com.br/800x800/84/84034/produto/285761419/boba-fett-with-kneepad-b-1--800-oomaidws1t.jpg,disponivel,Filmes e Séries,Star Wars,,AE4783F89
Funko Pop! DC Comics Batman 141 Pride,"R$ 264,90",https://cdn.awsli.com.br/800x800/84/84034/produto/105506098/b3et94vnr-bb-mqyk5f1mii.png,disponivel,Heróis/Vilões,Batman,,AE5078W50
Funko Pop! Animation Vocaloid Sakura Miku 945 Exclusivo,"R$ 559,90",https://cdn.awsli.com.br/800x800/84/84034/produto/119914863/funko-pop--vocaloid-sakura-miku-945-exclusivo-c-1--800-izmx8i9aim.jpg,disponivel,Música,Vocaloid,Exclusivo,AE5171X54
Funko Pop! Animation My Hero Academia Katsuki Bakugo 969 Exclusivo,"R$ 229,90",https://cdn.awsli.com.br/800x800/84/84034/produto/199262221/funko-pop-animation-my-hero-academia-katsuki-bakugo-969-exclusivo-xsd-9hy82am29q.png,disponivel,Animes,My Hero Academia,Exclusivo,AE5526F26
Funko Pop! Rocks The Notorious BIG With Suit 243 Exclusivo,"R$ 389,90",https://cdn.awsli.com.br/800x800/84/84034/produto/383441398/notorious-big-funko-3-s5xhrc725y.png,disponivel,Música,The Notorious B.I.G.,Exclusivo,AE5700S35
